name,score
Gogogo,0
SunBros,0
lech_team,0
0x1337GN,0
Random,0
ManBearPig,0
skoriop,0
DeSteim,0
ReturnToPwn,0
y0rayyy,0
foobarhunters,0
FlatBrain,0
Tacoquito,0
K3VG3N team,0
🍎,0
KGCTF,0
Elektroglitzer,0
GroovyStars,0
ransoware,0
3mp4n4d45,0
Cy83r_Cru54d3r5,0
alliens,0
flyingrabbit,0
rummatee's team,0
ourTeam,0
yariss,0
eerror,0
404_NotFound,0
thelepi_up,0
PrivateUser,0
DanteSinvo,0
SwiftMercy,0
BaconK69,0
papa54,0
fail2pwn,0
IIT(BHU)CyberSec,0
PyThong,0
Erge,0
Jordan Makris,0
milliways,0
tinko,0
final term ctf,0
Vyre,0
Solo,0
hackDZ,0
0xI,0
spaceunicorns,0
AcePeaX Team,0
snickerdoodles,0
MegaNetjes,0
Enterprize1,0
SeaHatVN,0
blupper,0
Full of Salami,0
50l0,0
GrrMeow=_=,0
5eek3rs,0
Panda Gangster,0
MOONL8UNICORNS,0
Kesselkinder,0
jps,0
crashloopbackoff,0
Reverse,0
FOSS-AG,0
QuantumX,0
Balrogash,0
Ponysec,0
Noobies,0
gfuzz,0
My name is Aidan I liek to d4nc3,0
105,0
qwertz,0
catgirl-zoo,0
Ucha_CTF,0
thdeveloper,0
H4ck_th3_Wh47,0
Noob,0
ffffffffff,0
nolo,0
GhostOfSparta,0
team_nomap,0
Dawn,0
Hackeriet,0
Baike,0
HDFR,0
tuvigo,0
animal farm,0
Slaven me lupo,0
Pouls Friends,0
mrfa3i,0
LeakKnights,0
zwiebel,0
KXTI_AM,0
Nirvawna,0
UrchinSec,0
lap_tapk_team,0
teamhac,0
FollowersApocalypse,0
cjh1212,0
TheActiveBlack,0
downgrade,0
clowns,0
DEAD_GIRLS,0
This field is required,0
HackneyHacking,0
N00tN00t,0
solo,0
c00kiesinmydreams,0
Superflat,0
ElChals,0
SC@,0
tacocat,0
LAMIRADA,0
Valar Dohaeris,0
the-hijacker,0
Eternal Noobz,0
CydefLab2,0
5h4d0wb10k3r,0
lunchbox orz,0
vertin,0
badgateway,0
Anywheres,0
fzhshzh,0
teamdae,0
sussyjapanese,0
shensir,0
DHSJaya,0
CreateRemoteThread,0
apa2jela,0
HcccL,0
Revenge from Z,0
cat flag.txt,0
At0m1c,0
dizhu,0
Nightxade,0
3anana,0
tmpim,0
hjbdos,0
帅哥被打了,0
Dendrog,0
c4t6,0
na4742,0
Bits & Pieces,0
mischkonsum,0
nxe,0
ELF Binary,0
UntukMY,0
duck1,0
没打过,0
the_t34m,0
Anonymous Hacker,0
AgNO3,0
Ju57pl4y,0
Cake1salie,0
l1nx1n,0
8787,0
粤韵风华,0
ITkn19h7,0
bang emon,0
joruno_team,0
ier,0
PEEOHSEE,0
AAA-101,0
scpssp,0
adry,0
noraneco,0
L$k4h,0
SUS,0
max,0
qubit,0
pwngenius,0
Yu8050,0
die_trying,0
patanhi,0
aviral,0
mild_thunder,0
Adolphus,0
lone_S0ul,0
etc2020,0
BITS-SOS,0
Scientia Potentia Est,0
soala gogo,0
the guys,0
Arcvx,0
xhup,0
Shell01_Team,0
X3eRo0,0
Martial_Law_Enforcer,0
Symphony Gang,0
onepiece?,0
Slab Allocator,0
myst3r10us,0
Untitled CTF Game,0
xninja,0
XTS,0
pdf files,0
StealthX,0
ttn,0
missn,0
suds4131,0
Z3r0_l0g0n,0
william,0
BC_T3am,0
wormmeatapple,0
BITC,0
K1n,0
candy,0
5upernova,0
A_User,0
L0n3W0of,0
ATS,0
KuonRuri,0
beginnerwh,0
Elgato,0
whambulance,0
dotrongtam4321,0
patali,0
ru5mu5,0
lemonman,0
Advanced CTF Threat,0
wings,0
BigBucks!!!,0
yess,0
mama_ho_fatto_caca,0
LEEchers,0
xmmlaz,0
The Girls,0
HiddenInvestigations,0
WOLF PACK,0
Team T1T4N5,0
Blind_Virus_1,0
ch3cke,0
A$AP,0
4GB_RAM,0
Mai una Ciofeca,0
20100dbg,0
d4rkn19ht,0
buzzlight,0
Pwnvengers,0
Red_Raven,0
LaxmanB,0
R4nd0m B00l5h1t5 G0,0
S¡dë £¥€,0
Dhongee,0
mins,0
team1,0
Potatos,0
"Me,Myself&I",0
RdvS,0
FirstNightingale,0
impaCTFul,0
trapwire,0
keiro,0
mischaufen,0
B A N D I T S - V I I,0
GODXLEGEND,0
FIRERED,0
OyO,0
schrute_farms,0
matmazel,0
Unpr3d1ct4bl3,0
IgniteYSU,0
ken_ctf,0
M4shl3_Boys,0
foo,0
Stealth Ops,0
3x30,0
ONLY.ONE,0
Flash07,0
Vortex,0
9oub3a,0
MSU-Pwngenius,0
raii,0
PwnBeforePwned,0
R4V3NGU1N,0
DesiBoyz,0
rand0s,0
snickerdoodle,0
4sesons,0
GasXploit,0
BoronMov,0
MakeShift Monkeys,0
HULKs,0
Hacksperience,0
Buddhathe18th,0
vanatka,0
cyber_warriors,0
OutLaws,0
pazam,0
ljttl3_c0rqj,0
errormath,0
testaaa,0
AreD@Yush?,0
foobar,0
just_chill_ctf,0
ITHack,0
shelltatic,0
HypexGGs,0
kkk,0
a2,0
SP EliteSec 2,0
0v3r,0
lamers,0
metagoofil,0
Pyr0F3lx,0
wolvesx05,0
feasto,0
oTbEhAcKeRs,0
th3ho4ds,0
TTeeaamm_J,0
zhudi,0
th3rm4l,0
Web Club NITK,0
Alo123,0
qwqw,0
shee3eeesh,0
vdqt666,0
wgpsec,0
cyber_blitz,0
yuji pemula,0
p0s3id0n_sh3ll,0
xxxxxxxxx,0
Avenger_team,0
whadafug,0
sianovatech,0
CYBERNETIC,0
FishFarming,0
hamayanhamayan,0
wednesday,0
CDoll,0
0x221b,0
loop,0
thr,0
ridge1,0
ASIS,0
E1iteSec,0
Babahell,0
phoan9g,0
mateam,0
Sky_In_North,0
WindTeam,0
flag{}___Orz,0
parth,0
DrBlue,0
Str4wHats,0
japanese_love,0
0x1337-JO,0
nCreeps,0
acdwas,0
spinningrat.online,0
noobz,0
pwd,0
InfoSecChess,0
havirga,0
ybyb,0
YXRobGV0ZQ#bm9w,0
chrf,0
CCBB,0
SuperHack,0
Broly,0
Ebo,0
snova,0
T3st3rs,0
Hack@Sec,0
WebHack,0
maju_ndisik,0
fl@g.txt,0
sudi%00,0
Binja Lover,0
Hila's crooks,0
bald eggs,0
stalk,0
0nePadding,0
kev1n,0
pwnmaster,0
ibuprofen,0
Stains,0
h1h4ck3r,0
CyKor,0
KolbaszEsPalacsinta,0
Bajrang_DAL321,0
$N0W_CR45H,0
hello,0
Lunar_r3d,0
Aoal,0
PracticeTeam,0
anton32,0
SHAOCHI LU,0
🪼,0
nusa.kakasi,0
N0usSach0ns,0
troopers,0
<script>alert(1)</script>,0
Team-Fuze,0
White,0
K3rNal_9Iv3_uP,0
TH3 CTF TEAM,0
doroo,0
SMNG,0
GladiatorHelmetFace,0
espada,0
m1nhch1,0
xmcpam,0
PCB,0
12C,0
Alibi24,0
16j,0
gweej,0
wingtip,0
GanSw,0
ZeroMarea,0
she,0
AKalone,0
PersianCats,0
bquanman,0
MonBo,0
5vc0d3,0
bob,0
tivoly,0
aaaaaaaaaaaaaa,0
omachi,0
aaa; ls /,0
TortaFritta,0
thedorks,0
xor,0
phylasso,0
zzgame,0
Scones n Jam,0
test,0
icesfont,0
BITSkrieg,0
aaa,0
Up,0
red_nov,0
0xbla,0
fibonhack,0
ExFraamDudes,0
Boot2Rue,0
{333*333},0
ryaagard,0
no name,0
Twil4,0
rrrrrr,0
ntomsic,0
TeamOne,0
AssnDarkX,0
GameFun,0
shell01-team,0
Yli,0
Fun :),0
mu5k3733r5,0
0xkn1gh7,0
jazz.w3.at,0
NSO,0
bananenteam,0
NSG,0
TeamSCA,0
nobodyknows,0
Chameleons,0
Hasaki,0
OrtaDoguHackers,0
ICP,0
crypto_Bogatyri,0
ZarlI,0
wilds,0
4seasons,0
shossho-gang,0
riticalc,0
SicMundusCreatusEst,0
hamza oumansour,0
melamarty,0
Uu,0
simple_girl,0
La Loyyd,0
meispi,0
ph1sher,0
xx,0
f$0c1ety,0
LoneHaven,0
XxS6907,0
hell(),0
TakeADayTrip,0
123123312,0
renton_k,0
juhye0p,0
joldmixon,0
€ ៛ £,0
SQRL,0
Mac Hong Nam,0
Juppis,0
open team,0
l3mh0cr3d,0
bdhxgrp,0
N_N,0
ss,0
CamelRiders,0
ri5e,0
ucabrera,0
75af2c8d0df0b7dd980abd3320b167a9,0
bootplug,0
NaughtyRandomWeapons,0
MastersOfTheCyberverse,0
The Council of Sheep,0
icoffee,0
R4A,0
~~BLANC~~,0
osokato,0
FC,0
aventakor,0
m1t0,0
dosenbier und abdafür,0
zxc,0
n0r4n9_70n9d4k,0
divine-delight,0
zwhubuntu,0
cyny666,0
HNY OWO,0
test123,0
gommeflip :3,0
character,0
MatavieHash,0
Crappy Crypto,0
v2,0
